Pubdate,Artikel_Titel,Teaser,Artikel_URL,Image_URL,Kategorie,Region,Latitude,Longitude
31.08.2014,Silber für den Deutschland-Achter,Der Traum von der WM-Revanche geht nicht in Erfüllung. Der Achter muss sich mit Rang zwei hinter den Briten begnügen. Nur der Frauen-Vierer gewinnt Gold. ,http://www.dw.de/silber-f%C3%BCr-den-deutschland-achter/a-17891787,"http://www.dw.de/image/0,,17891808_303,00.jpg",Sport,Ausland,52.326087,4.836397
31.08.2014,Doppel-Gold für Vielseitigkeitsreiter,Goldener Sonntag für die deutschen Vielseitigkeitsreiter bei der WM in Caen. Die Mannschaft sichert sich ebenso den Titel wie Sanda Auffarth im Einzel. Auch Silber ging an einen Deutschen. ,http://www.dw.de/doppel-gold-f%C3%BCr-vielseitigkeitsreiter/a-17891698,"http://www.dw.de/image/0,,17890659_303,00.jpg",Sport,Ausland,49.179518,-0.396630
31.08.2014,Wlodarczyk mit Hammerwurf-Weltrekord,"Die Polin Anita Wlodarczyk stellt beim ISTAF in Berlin einen neuen Weltrekord im Hammerwerfen auf. Damit ist die deutsche Betty Heidler entthront. David Storl gewinnt im Kugelstoßen, Robert Harting mit dem Diskus. ",http://www.dw.de/wlodarczyk-mit-hammerwurf-weltrekord/a-17891706,"http://www.dw.de/image/0,,17857754_303,00.jpg",Sport,Deutschland,52.514641,13.239514
31.08.2014,Irakische Truppen durchbrechen IS-Belagerung,Die rund 20.000 Bewohner der irakischen Stadt Amerli können aufatmen. Wochenlang waren sie von der Terrormiliz Islamischer Staat eingekesselt. Nun haben irakische Streitkräfte die Belagerung durchbrochen. ,http://www.dw.de/irakische-truppen-durchbrechen-is-belagerung/a-17891549,"http://www.dw.de/image/0,,17891598_303,00.jpg",Krise,Nahost,34.726456,44.585492
28.08.2014,Williams ohne Mühe ins Achtelfinale,"Serena Williams unterstreicht bei den US Open ihre Extraklasse. Auch Novak Djokovic kommt eine Runde weiter. Philipp Kohlschreiber steht in der dritten Runde, obwohl er seine Partie nicht zu Ende spielen muss. ",http://www.dw.de/williams-ohne-m%C3%BChe-ins-achtelfinale/a-17887600,"http://www.dw.de/image/0,,17887597_303,00.jpg",Sport,Ausland,40.749856,-73.847001
28.08.2014,Russische Truppen kämpfen auf ukrainischem Boden,"Die Hinweise mehren sich, wonach die prorussischen Rebellen im Osten der Ukraine mit aktiver Unterstützung russischer Soldaten kämpfen. Regierungstreue Milizen berichten davon - die prorussischen Rebellen bestätigen das. ",http://www.dw.de/russische-truppen-k%C3%A4mpfen-auf-ukrainischem-boden/a-17885931,"http://www.dw.de/image/0,,17885924_303,00.jpg",Krise,Ausland,47.996588,37.815896
27.08.2014,Ebola-Patient wird in Deutschland behandelt,"Ein mit Ebola infizierter WHO-Mitarbeiter wird in Hamburg behandelt. Der Mann hatte sich als Helfer in Sierra Leone infiziert. Er ist einer von Hunderten Ärzten und Pflegern, die von der Krankheit betroffen sind. ",http://www.dw.de/ebola-patient-wird-in-deutschland-behandelt/a-17882148,"http://www.dw.de/image/0,,17881310_303,00.jpg",Krise,Deutschland,53.627260,9.993121
27.08.2014,Behandlung in Deutschland eingetroffen,"Es gilt die höchste Sicherheitsstufe. Spezialjet und Isolier-Rettungswagen sind im Einsatz, als in Hamburg der erste Ebola-Patient aus Westafrika eintrifft. ",http://www.dw.de/ebola-infizierter-who-mitarbeiter-zur-behandlung-in-deutschland-eingetroffen/a-17881248,"http://www.dw.de/image/0,,17817189_303,00.jpg",Krise,Deutschland,53.590003,9.978645
26.08.2014,Putin wirbt für friedliche Lösung des Ukraine-Konflikts,Russlands Präsident Putin und sein ukrainischer Kollege Poroschenko haben sich erstmals seit Monaten getroffen. Können sie eine politische Lösung für den Krieg in der Ostukraine finden? Experten sind skeptisch.,http://www.dw.de/putin-wirbt-f%C3%BCr-friedliche-l%C3%B6sung-des-ukraine-konflikts/a-17879783,"http://www.dw.de/image/0,,17879947_303,00.jpg",Krise,Europa,53.903398,27.560287
26.08.2014,"""Breaking Bad"" auf Emmys abonniert","Sie sind die Oscars der Fernsehwelt: die Emmy-Awards. In diesem Jahr gehen sie an alte Bekannte, die schon in den Vorjahren abräumten. Heidi Klum schrammte allerdings an der Trophäe vorbei.",http://www.dw.de/breaking-bad-auf-emmys-abonniert/a-17878733,"http://www.dw.de/image/0,,17878711_303,00.jpg",Kultur,Nordamerika,34.044411,-118.267182
25.08.2014,MTV Video Music Award für Miley Cyrus,"Miley Cyrus ist nach Madonna und Lady Gaga wohl die nächste große Nummer in der Pop-Welt. Für ihren von manchen als Skandal-Video eingestuften Song ""Wrecking ball"" bekam die 21-Jährige nun den MTV Video Music Award. ",http://www.dw.de/mtv-video-music-award-f%C3%BCr-miley-cyrus/a-17875016,"http://www.dw.de/image/0,,17874950_303,00.jpg",Kultur,Nordamerika,34.044411,-118.267182
25.08.2014,Weltmeistertitel für DFB-Juniorinnen,Die deutschen U20-Juniorinnen bescheren dem deutschen Fußball den dritten internationalen Titel innerhalb von 43 Tagen. Die Entscheidung im WM-Finale gegen Nigeria fällt erst in der Verlängerung.,http://www.dw.de/weltmeistertitel-f%C3%BCr-dfb-juniorinnen/a-17875124,"http://www.dw.de/image/0,,17875144_303,00.jpg",Sport,Nordamerika,45.557858,-73.551886
24.08.2014,Ricciardo gewinnt in Spa,Der Red-Bull-Pilot setzt sich in einem turbulenten Rennen beim Großen Preis von Belgien durch. Auf dem Ardennen-Kurs in Spa geraten die dominierenden Silberpfeile aneinander und verspielen so den Sieg. ,http://www.dw.de/ricciardo-gewinnt-in-spa/a-17874447,"http://www.dw.de/image/0,,17874623_303,00.jpg",Sport,Ausland,50.444323,5.965504
02.09.2014,Separatisten wollen Sonderstatus für Ostukraine,Beim zweiten Treffen der Ukraine-Kontaktgruppe zeigen sich die prorussischen Separatisten selbstbewusst. Beflügelt von militärischen Erfolgen verlangen sie einen Sonderstatus für die besetzten Gebiete in der Ostukraine. ,http://www.dw.de/separatisten-wollen-sonderstatus-f%C3%BCr-ostukraine/a-17894246,"http://www.dw.de/image/0,,17893658_303,00.jpg",Krise,Europa,53.903398,27.560287
01.09.2014,Machtspiele im Jemen,In der jemenitischen Hauptstadt Sanaa demonstrieren Zehntausende Huthi-Rebellen für politische Mitsprache. Ihr Protest wirft ein Licht auf die Konflikte des Landes. Diese machen sich auch die Nachbarstaaten zunutze. ,http://www.dw.de/machtspiele-im-jemen/a-17893725,"http://www.dw.de/image/0,,17870655_303,00.jpg",Ausland,Nahost,15.354299,44.206456
01.09.2014,Lauter Wahlsieger in Sachsen,"Nach der Landtagswahl in Sachsen fühlen sich fast alle Parteien als Gewinner. Um die Partei, die am meisten dazu gewonnen hat, macht der Wahlsieger Stanislaw Tillich allerdings einen Bogen. ",http://www.dw.de/lauter-wahlsieger-in-sachsen/a-17893234,"http://www.dw.de/image/0,,17893290_303,00.jpg",Politik,Deutschland,51.056199,13.733274
